ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.1.1;124;Asteraceae               ;1;Eupatorium;1;cannabinum;;;v;H;N;Y;Eurasiat.;Eupatorium cannabinum L.;;;;;;;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Convolvuletalia sepium);(1.3, 1.4, 2.1.2, 2.2), 2.5.1, (2.6, 4.2, 5.1, 6.3.2), 7.2, (9.2.1, 9.2.2);2;2;1;0;0;1;2;1;0;0;2;4;0;1;2;0;0;0
124.2.2;124;Asteraceae               ;2;Solidago;2;canadensis;;;v;H;N;N;N-Am.;Solidago canadensis L.;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;;;;+;+;+;;;+;;+;+;+;+;;+;;+;+;+;;+;;;+;+;;+;+;+; - [Artemisietea vulgaris];"1.4, 2.2, 2.5.1, 2.6, (2.7, 5.1, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.2.3;124;Asteraceae               ;2;Solidago;3;gigantea;;;v;H;N;N;N-Am.;Solidago gigantea Aiton;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;;+;+;+;;;+;+;+;+;+;+;;+;;+;+;+;;+;+;+;+;+;+;+;+;+; - [Convolvulion sepium];"1.3, 1.4, 2.2, 2.5.1, (2.6, 3.5), 9.2.2; 2.9.2";2;2;2;0;0;1;2;0;1;1;2;1;2;4;2;1;2;1
124.2.4;124;Asteraceae               ;2;Solidago;4;graminifolia;;;v;H;N;N;N-Am.;Solidago graminifolia (L.) Salisb.;;;;;;;x;x;x;;;;2;0;0;0;0;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;;;;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - [Convolvulion sepium];"1.3, 1.4, (2.2), 2.5.1, (2.6, 3.5), 9.2.2; 2.9.2";2;1;0;0;0;1;2;0;1;0;2;4;0;1;2;0;0;0
124.2.1.1;124;Asteraceae               ;2;Solidago;1;virgaurea;1;virgaurea;v;H;N;Y;Eurosib./N-Am.;Solidago virgaurea L. subsp. virgaurea;;;;;;;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Carpino-Fagetea sylvaticae);(2.2, 2.5.2), 2.6, (6.4), 6.7, 7.2, 7.4.2, (9.1.1), 9.1.2, (9.2.2), 9.2.3, 9.2.4, 9.2.5, 9.3;2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.2.1.2;124;Asteraceae               ;2;Solidago;1;virgaurea;2;minuta;v;H;N;Y;Eur.-Mont.;Solidago virgaurea subsp. minuta (L.) Arcang.;;;;;;;x;x;x;x;;;0;1;2;2;0;-;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;;+;;+;;+;;;+;;;-;;+;(Juncetea trifidi);(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2);2;2;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.3.1;124;Asteraceae               ;3;Bellis;1;perennis;;;v;H;N;Y;Eur.;Bellis perennis L.;x;x;x;x;x;x;x;x;x;x;x;x;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Cynosurion);(2.1.2, 2.2, 2.6), 2.7, 2.8, 6.3.1;2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.5.1;124;Asteraceae               ;5;Callistephus;1;chinensis;;;a;T;N;N;E-Asiat.;Callistephus chinensis (L.) Nees;;;;;;;x;x;x;;;;2;2;0;0;0;-;+;-;-;-;-;-;+;+;;-;;;;;;;;;;;;-;-;-;-;-;-;-;-;+;-;-;+;-;;-;-;+;;+;;;;-;;-;+;;;;;-;-;-; - [Stellarietea mediae];"2.2, (2.5.2, 2.7); 2.9.2";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.4.6;124;Asteraceae               ;4;Aster;6;alpinus;;;v;H;N;Y;Arct.-Alp.;Aster alpinus L.;;;;;;x;x;x;;;;;1;1;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;;+;+;+;+;(Elyno-Seslerietea variae);(3.2, 6.2), 6.5, (7.1, 9.1.1);2;2;2;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.4.5;124;Asteraceae               ;4;Aster;5;amellus;;;v;H;N;Y;Eurasiat.;Aster amellus L.;;;;;;;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;-;+;-;-;-;-;+;+;-;+;-;+;-;-;-;+;-;-;;;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;(Geranion sanguinei);"(2.2, 2.6), 6.2, (7.4.2, 9.1.1, 9.3); (2.9.2)";2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.4.7;124;Asteraceae               ;4;Aster;7;bellidiastrum;;;v;H;N;Y;S-Eur.-Mont.;Aster bellidiastrum (L.) Scop.;;;;;x;x;;;;;;;1;2;2;1;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Elyno-Seslerietea variae);(3.2, 3.3), 4.1, (4.2), 5.1, 6.2, (8.2, 9.1.1, 9.2.3, 9.2.5?);2;2;1;0;1;2;1;0;1;4;2;0;2;1;0;0;0;0
124.4.2;124;Asteraceae               ;4;Aster;2;laevis;;;v;H;N;N;N-Am.;Aster laevis L.;;;;;;;;;x;x;x;;2;0;0;0;0;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;;-;-;-;-;; - [Artemisietea vulgaris];"2.2, 2.5.1, (7.1, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.4.9;124;Asteraceae               ;4;Aster;9;linosyris;;;v;H;N;Y;S-Eur.;Aster linosyris (L.) Bernh.;;;;;;;;x;x;;;;2;2;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;+;+;-;-;+;+;+;+;+;+;;;-;-;+;+;+;+;+;;+;;;-;-;;+;+;+;+;+;;+;+;-;(Festuco-Brometea);(2.2), 6.2, 6.7, (7.4.2, 9.1.1, 9.3);2;2;1;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.4.1;124;Asteraceae               ;4;Aster;1;novae-angliae;;;v;H;N;N;N-Am.;Aster novae-angliae L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;+;-;+;-;-;-;+;-;-;+;-;-;;;-;-;+;-;;+;+;-;-;;+;;+;;-;+;;-;-;;+;+;-;+;-;-;-;-;+;-;-;+;-;+;+;-;-;-;;+; - [Convolvulion sepium];"(1.2.1, 1.3), 2.2, 2.5.1, 7.2, (7.4.2, 7.5, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.4.8;124;Asteraceae               ;4;Aster;8;sedifolius;;;v;H;N;Y;S-Eur./W-Asiat.;Aster sedifolius L.;;;;;;;;;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;;-;-;;+;-;-;-;-;-;-;;-;;-;-;-;;-;;-;-;-;-;-;-;-;(Brachypodietalia phoenicoidis);2.1.2, 2.2, 6.2, 7.3, (9.4);2;2;1;2;1;0;0;0;1;4;2;0;2;1;0;0;0;0
124.7.2;124;Asteraceae               ;7;Conyza;2;bonariensis;;;a;T;N;N;Neotrop.;Conyza bonariensis (L.) Cronquist;;;;;;;x;x;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;-;-;;;+;;;;?;;;;;+;;+;-;;+;;;+;;;-;+;+;+;;;;+;;(Chenopodion muralis);2.1, 2.2;2;2;1;2;1;0;0;0;0;0;0;4;0;0;2;0;0;0
124.7.3;124;Asteraceae               ;7;Conyza;3;sumatrensis;;;a;T;N;N;Neotrop.;Conyza sumatrensis (Retz.) E. Walker;;;;;;x;x;x;x;;;;2;0;0;0;0;;;;;;;;+;;;;;;;;;;;;;;;;;;;;+;+;;+;+;+;;;+;;+;+;+;+;;+;+;;;+;+;;+;;+;+;+;; - [Stellarietea mediae];2.2;2;2;1;1;2;1;0;0;0;0;0;4;0;0;2;0;0;0
124.7.1;124;Asteraceae               ;7;Conyza;1;canadensis;;;a, b;T, H;N;N;N-Am.(-Cosmop.);Conyza canadensis (L.) Cronquist;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Stellarietea mediae);2.1, 2.2, 2.5.2, (2.6, 3.1, 3.2, 3.3, 3.5);2;2;1;1;2;1;0;0;0;2;4;2;1;2;1;0;0;0
124.6.3.1;124;Asteraceae               ;6;Erigeron;3;acer;1;acer;b, v;H;N;Y;Eurasiat./N-Am.;Erigeron acer L. subsp. acer;;;;;;x;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;;+;;;;;;;;;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;;+;+;;+;;+;+;+;+;(Festuco-Brometea);(2.1.2, 2.2), 2.6.2, 3.1, 3.5, 6.2;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.6.3.2;124;Asteraceae               ;6;Erigeron;3;acer;2;angulosus;b, v;H;N;Y;Eurosib./N-Am.;Erigeron acer subsp. angulosus (Gaudin) Vacc.;;;;;;x;x;x;x;x;;;1;2;2;0;0;-;+;+;+;+;+;+;;+;;-;;;;;;;;;;;;+;+;;+;+;;;+;+;-;;+;+;;+;;+;;;;;;;;?;;+;;;;;-;+;(Epilobion fleischeri);(2.2), 2.6.2, 3.3, (6.2);2;2;1;0;1;2;1;0;1;4;2;0;2;1;0;0;0;0
124.6.3.4;124;Asteraceae               ;6;Erigeron;3;acer;4;politus;b, v;H;N;Y;Arct.-Alp.;Erigeron acer subsp. politus (Fr.) H. Lindb.;;;;;;x;x;x;x;x;;;1;2;2;0;0;-;-;-;-;-;-;-;-;-;;;;;+;;;;+;;;;+;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;;;;;;+;;-;;;;;;-;;-;(Epilobion fleischeri);(2.2), 2.6.2, 3.3, (6.2);2;2;1;0;1;2;1;0;1;4;2;0;2;1;0;0;0;0
124.6.6;124;Asteraceae               ;6;Erigeron;6;alpinus;;;v;H;N;Y;S-Eur.-Mont.;Erigeron alpinus L.;;;;;;;x;x;x;;;;0;1;2;2;0;-;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;-;+;;+;+;;+;;+;+;;-;(Elyno-Seslerietea variae, Juncetea trifidi);(3.2, 6.2, 6.3.1), 6.5;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.6.1.1;124;Asteraceae               ;6;Erigeron;1;annuus;1;annuus;a, b, v;T, H;N;N;N-Am.;Erigeron annuus (L.) Desf. subsp. annuus;;;;;;x;x;x;x;x;;;2;1;0;0;0;+;+;+;+;;+;+;+;+;;+;;;;;;;;;;;;+;+;;+;;;;+;+;+;;+;+;;+;+;+;+;;;+;;+;;+;+;+;;+;+;+;+;+;(Artemisietea vulgaris);"(2.1), 2.2, 2.5.2, (2.6), 6.2, 6.7, (7.2, 9.2.2); (2.9.2)";2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.6.1.2;124;Asteraceae               ;6;Erigeron;1;annuus;2;septentrionalis;a, b, v;T, H;N;N;N-Am.;Erigeron annuus subsp. septentrionalis (Fernald & Wiegand) Wagenitz;;;;;;x;x;x;x;x;;;2;1;0;0;0;+;+;+;+;;+;+;+;+;;+;;;;;;;;;;;;+;+;-;-;;;;-;?;;;;;;;-;+;;;;+;;;;;;;;;;;;+;(Artemisietea vulgaris);"(2.1), 2.2, 2.5.2, (2.6), 6.2, 6.7, (7.2, 9.2.2); (2.9.2)";2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.6.1.3;124;Asteraceae               ;6;Erigeron;1;annuus;3;strigosus;a, b, v;T, H;N;N;N-Am.;Erigeron annuus subsp. strigosus (Willd.) Wagenitz;;;;;;x;x;x;x;x;;;2;1;0;0;0;;+;-;-;;-;-;-;-;;+;;;;;;;;;;;;-;-;+;+;;;+;+;+;;;+;;;+;+;-;;;;+;;+;;;;+;;;+;+;;+;(Artemisietea vulgaris);"(2.1), 2.2, 2.5.2, (2.6), 6.2, 6.7, (7.2, 9.2.2); (2.9.2)";2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.6.4;124;Asteraceae               ;6;Erigeron;4;atticus;;;v;H;N;Y;S-Eur.-Mont.;Erigeron atticus Vill.;;;;;;;x;x;x;;;;0;1;2;1;0;-;+;-;+;-;+;+;+;+;-;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;-;+;+;+;;+;+;+;;+;+;+;;+;+;-;+;;+;-;-;-;(Caricion ferrugineae);(3.3, 6.3.1), 6.5.1;2;2;2;0;1;2;1;0;0;2;1;0;4;2;0;2;1;0
124.6.10;124;Asteraceae               ;6;Erigeron;10;candidus;;;v;H;Y;Y;E-Alp.;Erigeron candidus Widder;;;;;;;x;x;;;;;0;0;2;2;0;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Seslerion variae);6.5.1;2;0;0;0;1;2;1;0;0;2;1;0;4;2;0;2;1;0
124.6.5;124;Asteraceae               ;6;Erigeron;5;gaudinii;;;v;H;N;Y;Alp.;Erigeron gaudinii Brügger;;;;;;;x;x;;;;;1;1;2;1;0;-;+;-;+;-;+;+;+;D;-;+;-;+;+;-;+;-;+;;-;;+;-;-;;+;+;;+;+;+;-;-;-;+;-;-;-;+;+;;-;+;;-;-;+;;-;+;-;+;-;-;-;(Androsacion vandellii);3.2, (3.3, 6.5.1);2;1;1;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.6.2;124;Asteraceae               ;6;Erigeron;2;karvinskianus;;;v;H;N;N;N-Am.;Erigeron karvinskianus DC.;;;;x;x;x;x;x;x;x;x;x;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;+;;;-;+;;;-;-;+;-;+;-;-;+;+;+;-;+;+;+;-;;-;+;+;-;+;-; - [Parietarietalia judaicae];"3.2; (2.9.2)";2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.6.7;124;Asteraceae               ;6;Erigeron;7;neglectus;;;v;H;Y;Y;Alp.;Erigeron neglectus A. Kern.;;;;;;x;x;x;x;;;;0;0;2;2;0;-;+;-;+;-;+;+;-;+;;+;;+;+;-;+;;+;+;+;+;+;-;+;;+;+;;+;+;+;-;-;+;+;-;+;;+;-;-;-;+;+;+;-;+;-;-;-;-;-;-;-;-;(Seslerion variae);(3.2), 6.5;2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.6.8;124;Asteraceae               ;6;Erigeron;8;glabratus;;;v;H;N;Y;S-Eur.-Mont.;Erigeron glabratus Bluff & Fingerh.;;;;;;;x;x;;;;;0;1;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;;;+;+;+;;+;;+;+;;;+;+;+;(Seslerion variae);(2.5.2), 3.2, 3.3, 3.4, 6.5;2;0;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.6.9;124;Asteraceae               ;6;Erigeron;9;uniflorus;;;v;H;N;Y;Arct.-Alp.;Erigeron uniflorus L.;;;;;;;x;x;x;;;;0;0;1;2;1;-;+;+;+;+;+;+;+;+;;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;-;+;;+;+;;+;;+;-;-;+;(Oxytropido-Elynion);(3.2, 3.3), 6.5;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.9.1;124;Asteraceae               ;9;Micropus;1;erectus;;;a;T;N;Y;Medit.;Micropus erectus L.;;;;x;x;x;x;x;;;;;2;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;+;+;+;+;D;+;+;-;+;;-;+;+;+;;+;;-;+;;+;+;-;-;;;+;+;;(Thero-Brachypodietalia);2.1, 2.2, 3.1, 6.1, 6.2;2;1;1;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.9.2;124;Asteraceae               ;9;Micropus;2;discolor;;;a;T;N;;Medit.;Micropus discolor Pers.;;;;;x;x;x;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;-;-;;-;-;-;;-;;-;;;;;-;-;;-;+;-;-;;;-;-;-;(Thero-Brachypodietalia);2.1, 2.2, 6.1, 6.2, 7.3;2;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.8.4;124;Asteraceae               ;8;Filago;4;arvensis;;;a;T;N;Y;Eurasiat.;Filago arvensis L.;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;-;+;+;+;D;-;+;-;-;+;-;;-;+;-;-;;+;-;-;+;+;+;+;+;+;-;;;-;+;+;-;+;+;+;+;;;-;+;;+;+;;-;;+;D;+;+;(Koelerio-Corynephoretea);(2.1), 2.2, (2.5.2, 2.6), 3.1, (3.5), 6.2;1;2;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.8.6;124;Asteraceae               ;8;Filago;6;gallica;;;a;T;N;Y;W-Eur./Medit.;Filago gallica L.;;;;;;x;x;x;;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;+;+;;+;;-;-;;;-;-;;-;-;-;+;;;+;-;-;;-;+;-;-;;+;-;-;-;(Tuberarietalia guttatae);2.1, 2.2, 6.2;0;1;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.8.2;124;Asteraceae               ;8;Filago;2;lutescens;;;a;T;N;Y;W-Eur.;Filago lutescens Jord.;;;;;;x;x;x;x;;;;2;1;0;0;0;+;-;?;-;-;-;-;D;-;-;-;-;-;;-;-;-;;-;-;;;-;-;;+;;;+;+;-;;-;-;+;;-;-;+;;;-;+;-;;-;-;;-;-;;;-;;-;(Thero-Airion);2.1, 2.2, 3.1, 6.2;1;2;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.8.5;124;Asteraceae               ;8;Filago;5;minima;;;a;T;N;Y;W-Eur./Medit.;Filago minima (Sm.) Pers.;;;;;;x;x;x;;;;;2;1;0;0;0;+;-;+;-;-;-;-;+;-;-;-;-;-;;-;-;-;+;-;-;;+;-;-;+;+;+;+;+;+;+;;;-;+;;-;;+;+;+;+;+;-;+;;D;;-;-;;;D;-;;(Thero-Airion);2.1, 2.2, (2.5.2, 2.6), 3.1, (6.2);1;2;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.8.3;124;Asteraceae               ;8;Filago;3;pyramidata;;;a;T;N;Y;Medit./SW-Asiat.;Filago pyramidata L.;;;;;;;x;x;x;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;;-;-;-;+;-;+;-;;-;-;;;-;-;;+;+;+;+;-;+;;+;-;-;+;-;+;-;+;+;+;;-;+;;+;;-;-;;;+;+;-;(Thero-Brachypodietea);2.1, 2.2, 3.1;2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.8.1;124;Asteraceae               ;8;Filago;1;vulgaris;;;a;T;N;Y;Medit.;Filago vulgaris Lam.;;;;;;x;x;x;x;;;;2;1;0;0;0;?;D;+;?;-;?;-;-;-;-;-;-;-;+;-;;-;;-;-;;+;-;-;;;+;+;+;+;+;+;-;-;+;;-;+;+;+;+;;+;+;+;;+;+;;-;;+;+;+;+;(Thero-Airion);2.1, 2.2, 3.1, (6.2);1;2;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.12.2;124;Asteraceae               ;12;Antennaria;2;carpatica;;;v;H;N;Y;S-Eur.-Mont.;Antennaria carpatica (Wahlenb.) Bluff & Fingerh.;;;;;;x;x;x;;;;;0;1;1;2;0;-;+;+;+;+;+;+;+;+;;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;+;+;;+;+;-;+;;+;;-;+;(Oxytropido-Elynion);(3.2), 6.5, (7.1);2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.12.1;124;Asteraceae               ;12;Antennaria;1;dioica;;;v;C;N;Y;Eurosib./N-Am.;Antennaria dioica (L.) Gaertn.;;;;;;x;x;x;;;;;1;1;2;2;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Nardetea strictae);(2.6, 3.1, 3.3, 6.2, 6.3.2), 6.4, 6.5, 7.1, 9.1.1, 9.1.2, (9.2.4);1;2;2;1;2;1;0;0;0;0;0;0;2;1;0;4;2;0
124.13.1;124;Asteraceae               ;13;Leontopodium;1;alpinum;;;v;H;N;Y;S-Eur.-Mont.;Leontopodium alpinum Cass.;;;;;;;x;x;x;;;;1;1;2;2;0;-;+;+;+;-;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;;+;+;+;+;(Seslerion variae);(2.5, 3.2, 3.3), 6.5, (9.1.2);2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.14.1;124;Asteraceae               ;14;Anaphalis;1;margaritacea;;;v;H;N;N;N-Am./E-Asiat.;Anaphalis margaritacea (L.) Benth.;;;;;;;x;x;x;;;;2;0;0;0;0;+;+;+;+;+;-;-;+;+;;-;;;;;;;;;;;;-;+;+;;-;;;-;+;-;-;+;-;;-;-;-;;;;;;;;-;;-;;;;-;-;-; - [Atropetalia bella-donae];"2.2, 2.6, 2.7, (9.2.2); 2.9.2";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.10.3;124;Asteraceae               ;10;Gnaphalium;3;hoppeanum;;;v;H;N;Y;S-Eur.-Mont.;Gnaphalium hoppeanum W. D. J. Koch;;;;;;;x;x;;;;;0;0;1;2;0;-;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;-;+;-;+;-;+;+;-;+;;;+;+;+;(Arabidion caeruleae);(2.5), 3.3, (6.5.1, 6.6);2;1;0;0;1;2;1;0;0;4;2;0;2;1;0;0;0;0
124.10.6;124;Asteraceae               ;10;Gnaphalium;6;luteoalbum;;;a;T;N;Y;Cosmop.;Gnaphalium luteoalbum L.;;;;;;x;x;x;x;;;;2;0;0;0;0;+;-;+;D;-;-;D;+;D;-;D;-;-;+;-;;-;+;-;-;;+;-;-;+;+;+;;+;+;D;+;-;-;+;+;-;;+;+;+;+;+;-;+;;+;+;-;-;+;+;+;+;-;(Isoëto-Nanojuncetea);1.4, 2.1, (2.6);2;2;2;0;0;1;2;0;1;1;2;1;2;4;2;1;2;1
124.10.2;124;Asteraceae               ;10;Gnaphalium;2;norvegicum;;;v;H;N;Y;Eurosib./N-Am.;Gnaphalium norvegicum Gunnerus;;;;;;;x;x;x;;;;0;0;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;;;+;;+;;+;+;-;+;+;+;-;-;+;(Calamagrostion villosae);2.6, 6.5.1, (7.1, 7.2, 8.1, 9.1.1, 9.1.2);1;1;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.10.4;124;Asteraceae               ;10;Gnaphalium;4;supinum;;;v;H;N;Y;Arct.-Alp.;Gnaphalium supinum L.;;;;;;;x;x;;;;;0;0;1;2;1;-;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;-;+;+;+;+;+;+;+;+;-;+;-;+;-;+;+;-;+;;+;-;+;+;(Salicion herbaceae);(2.5, 3.2), 3.3, 6.5, 6.6;1;2;2;0;0;1;2;0;0;0;0;0;2;1;0;4;2;0
