ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.97.13;124;Asteraceae               ;97;Crepis;13;albida;;;v;H;N;Y;SW-Eur.;Crepis albida Vill.;;;;;;x;x;;;;;;1;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;+;-;-;-;-;-;-;+;-;+;-;-;-;+;-;+;-;-;-;+;-;-;-;(Ononidetalia);3.2, 3.3, 6.2, (6.5.1);2;2;1;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.97.12;124;Asteraceae               ;97;Crepis;12;alpestris;;;v;H;N;Y;S-Eur.-Mont.;Crepis alpestris (Jacq.) Tausch;;;;;x;x;x;;;;;;1;1;2;1;0;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;+;+;+;-;-;;;-;;-;-;+;;+;+;;+;+;+;-;;-;+;-;+;;-;-;;;+;+;+;(Seslerion variae);(2.5.2), 3.2, 3.3, 6.2, 6.5.1, 7.4.2, 9.1.1;2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.97.7;124;Asteraceae               ;97;Crepis;7;aurea;;;v;H;N;Y;S-Eur.-Mont.;Crepis aurea (L.) Cass.;;;;;;x;x;x;x;;;;0;1;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;-;-;+;+;+;+;+;+;;+;;+;+;+;;+;+;;+;;+;+;;+;(Poion alpinae);2.4, (2.5, 3.3), 6.3.1, 6.5.1, (6.6);2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.97.15;124;Asteraceae               ;97;Crepis;15;biennis;;;b, v;H;N;Y;Eur.;Crepis biennis L.;;;;;x;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;;+;;+;+;+;;+;+;+;+;+;;+;+;+;(Arrhenatherion elatioris);(1.4, 2.1.2, 2.2, 6.2), 6.3.1, (6.7, 7.4.2, 9.2.2);2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.97.9;124;Asteraceae               ;97;Crepis;9;bocconei;;;v;H;N;Y;S-Eur.-Mont.;Crepis bocconei P. D. Sell;;;;;;x;x;x;;;;;0;1;2;1;0;-;+;+;+;+;+;+;+;+;;+;+;+;+;;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;;;+;;+;+;;-;;-;+;-;+;;-;+;;;-;-;+;(Caricion ferrugineae);(2.6), 6.5.1, (7.1), 7.2;2;2;1;0;1;2;1;0;0;2;4;2;1;2;1;0;0;0
124.97.24;124;Asteraceae               ;97;Crepis;24;capillaris;;;a, b;T, H;N;Y;Eur.;Crepis capillaris Wallr.;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;;+;;+;+;+;;+;;+;+;+;+;+;+;+;(Cynosurion);2.1, 2.2, (2.5), 2.7, (3.2), 6.3.1;2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.97.16;124;Asteraceae               ;97;Crepis;16;chondrilloides;;;v;H;N;Y;Illyr./E-Alp.;Crepis chondrilloides Jacq.;;;;;x;x;;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;(Saturejion subspicatae);(3.2, 3.3), 6.2;2;0;0;2;1;0;0;0;0;4;0;0;0;0;0;0;0;0
124.97.10;124;Asteraceae               ;97;Crepis;10;conyzifolia;;;v;H;N;Y;Eurasiat.;Crepis conyzifolia (Gouan) A. Kern.;;;;;;x;x;x;x;;;;0;1;2;1;0;-;+;-;+;+;+;+;+;+;-;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;-;-;;+;+;+;+;+;+;+;+;+;;+;;+;+;;+;+;+;+;-;+;(Festucion variae);(2.6, 3.2), 6.3.1, 6.5.1, (6.7, 7.1), 7.2, (9.1.2);1;1;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.97.21.1;124;Asteraceae               ;97;Crepis;21;foetida;1;foetida;a, b;T, H;N;Y;S-Eur./SW-Asiat.;Crepis foetida L. subsp. foetida;;;;;;x;x;x;x;x;;;2;1;0;0;0;-;-;-;;-;;-;-;-;-;+;-;-;;-;;+;+;+;-;;+;-;-;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;;+;+;;+;+;+;+;;;+;+;-;(Stellarietea mediae);2.1, 2.2, (2.5.2, 3.2, 3.5), 6.2;2;2;1;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.97.21.2;124;Asteraceae               ;97;Crepis;21;foetida;2;rhoeadifolia;a, b;T, H;N;Y;SE-Eur./SW-Asiat.;Crepis foetida subsp. rhoeadifolia (M. Bieb.) $Celak.;;;;;;x;x;x;x;;;;2;0;0;0;0;+;;+;;-;;;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;(Artemisietea vulgaris);2.2, (2.5.2, 3.2, 3.3);2;2;1;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.97.18.1;124;Asteraceae               ;97;Crepis;18;froelichiana;1;froelichiana;v;H;Y;Y;E-Alp.;Crepis froelichiana Froel. subsp. froelichiana;;;;;x;x;;;;;;;1;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;-;-;+;-;;-;;-;+;+;-;(Seslerion variae);3.2, 6.2, 6.5.1, 6.7, 7.4.2;2;0;0;1;2;1;0;0;0;2;4;2;0;0;0;0;0;0
124.97.18.2;124;Asteraceae               ;97;Crepis;18;froelichiana;2;dinarica;v;H;N;Y;E-Alp./Illyr.;Crepis froelichiana subsp. dinarica (Beck) Gutermann;;;;;x;x;;;;;;;0;2;2;0;0;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;+;;+;-;-;-;-;+;-;-;-;-;+;+;-;-;-;-;+;(Erico-Pinetalia);(2.6.2, 3.2), 6.2, (6.5.1), 6.7, 7.4.2, 8.2, 9.1.1, (9.2.2, 9.2.3);2;0;0;1;2;1;0;0;0;2;4;2;0;0;0;0;0;0
124.97.17;124;Asteraceae               ;97;Crepis;17;praemorsa;;;v;H;N;Y;Eurasiat.;Crepis praemorsa (L.) Walther;;;;x;x;x;;;;;;;2;2;0;0;0;+;+;+;+;+;-;D;+;+;-;+;-;-;+;-;+;-;-;-;-;-;-;+;+;-;;-;-;;+;+;-;-;+;-;+;-;-;-;-;;-;-;-;;-;-;-;-;-;;-;-;-;+;(Geranion sanguinei);6.2, (6.3.2), 6.7, 7.4.2, 9.1.1, 9.3;2;1;0;1;2;1;0;0;1;2;4;2;1;2;1;0;0;0
124.97.4;124;Asteraceae               ;97;Crepis;4;jacquinii;;;v;H;N;Y;E-Alp./Carpat.;Crepis jacquinii Tausch;;;;;;x;x;x;;;;;0;2;2;2;0;-;-;+;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Caricenion firmae);3.2, 3.3, 6.5.1, (8.2);2;0;0;0;1;2;1;0;0;4;2;0;0;0;0;0;0;0
124.97.5;124;Asteraceae               ;97;Crepis;5;kerneri;;;v;H;N;Y;E-Alp./Illyr.;Crepis kerneri Rech. f.;;;;;;;x;x;;;;;0;0;1;2;0;-;+;-;+;-;+;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;+;+;+;+;-;+;-;-;+;+;-;+;-;-;+;-;-;+;+;+;(Caricenion firmae);(2.5), 3.2, 3.3, 6.5.1, (7.1);2;0;0;0;1;2;1;0;0;4;2;0;0;0;0;0;0;0
124.97.8;124;Asteraceae               ;97;Crepis;8;mollis;;;v;H;N;Y;Eur.-Mont.;Crepis mollis (Jacq.) Asch.;;;;;;x;x;x;;;;;1;2;2;0;0;-;-;+;+;+;+;+;+;+;+;-;-;-;-;-;+;-;-;-;-;-;-;+;+;;-;-;;;-;-;-;-;;;;?;-;+;;+;-;;-;+;-;+;;-;-;;;-;-;-;(Triseto-Polygonion bistortae);(1.4, 2.5.1, 2.6, 3.2), 5.1, 6.3, 7.2, (8.2, 9.2.2);2;2;2;0;1;2;1;0;1;1;2;1;2;4;2;1;2;1
124.97.26;124;Asteraceae               ;97;Crepis;26;neglecta;;;a;T;N;N;Medit.;Crepis neglecta L.;;;;;x;x;x;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;-;;+;;;+;-;;;;+;+;;;+;+;;(Thero-Brachypodietea);2.1, 2.2, 6.2;2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.97.23;124;Asteraceae               ;97;Crepis;23;nicaeensis;;;a, b;T, H;N;Y;S-Eur.;Crepis nicaeensis Pers.;;;;;x;x;x;x;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;D;;-;+;-;-;-;-;-;-;+;;-;-;+;+;+;+;+;+;+;+;+;-;-;;-;-;-;;+;+;;-;+;;-;+;-;-;;;-;-;-;(Sisymbrietalia);2.1, 2.2, (3.2), 6.2, 6.3.1;2;2;1;2;1;0;0;0;0;0;2;4;0;1;2;0;0;0
124.97.1;124;Asteraceae               ;97;Crepis;1;paludosa;;;v;H;N;Y;Eurasiat.;Crepis paludosa (L.) Moench;;;;;;x;x;;;;;;1;2;2;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Calthion palustris);(3.2), 4.1, 4.2, 5.1, 6.3.2, 7.2, 9.2.1, 9.2.2;2;2;2;0;0;1;2;0;1;1;2;1;2;4;2;1;2;1
