,missing,Name on tree,,,,Name on original table
115,-37699,Erigeron_leiomerus,,,,Erigeron_schleicheri
113,-37673,Erigeron_simplex,,,,
118,-37665,Erigeron_uniflorus,,,,
119,-34780,Eupatorium_cannabinum,,,,
120,-35632,Galinsoga_parviflora,,,,
121,-35633,Galinsoga_quadriradiata,,,,
122,-36813,Gnaphalium_hoppeanum,,,,
123,-36812,Gnaphalium_supinum,,,,
124,-36811,Gnaphalium_uliginosum,,,,Gnaphalium_sylvaticum
125,-35797,Helianthus_tuberosus,,,,
126,-36243,Helichrysum_italicum,,,,
127,-40319,Hieracium_alpinum,,,,
134,NA,Hieracium_humile,,,,
128,-40341,Hieracium_amplexicaule,,,,
129,-40295,Hieracium_bifidum,,,,
130,NA,Hieracium_candidum,,,,Hieracium_cydoniifolium
142,NA,Hieracium_carneum,,,,Hieracium_ramosissimums_subsp._lactucifolium
131,NA,Hieracium_cordifolium,,,,Hieracium_froelichianum
133,-40323,Hieracium_glaucum,,,,
138,-40348,Hieracium_lawsonii,,,,
135,NA,Hieracium_lucidum,,,,Schlagintweitia_intybacea
139,-40346,Hieracium_murorum,,,,
140,NA,Hieracium_pilosum,,,,Hieracium_piliferum
141,-40342,Hieracium_prenanthoides,,,,
132,NA,Hieracium_ramondii,,,,Hieracium_glaucopsis
145,NA,Hieracium_sabaudum,,,,Hieracium_valdepilosum
137,NA,Hieracium_sparsum,,,,Schlagintweitia_huteri_subsp._lantoscana
143,-40302,Hieracium_tomentosum,,,,
146,-40325,Hieracium_villosum,,,,
147,-39649,Homogyne_alpina,,,,
148,-39647,Homogyne_discolor,,,,
149,-39648,Homogyne_sylvestris,,,,
150,-40115,Hypochaeris_maculata,,,,
151,-40121,Hypochaeris_radicata,,,,
152,-40108,Hypochaeris_uniflora,,,,
153,-37228,Inula_bifrons,,,,
154,-37229,Inula_conyza,,,,Inula_conyzae
155,-37243,Inula_helenium,,,,
160,-37233,Inula_hirta,,,,Inula_spiraefolia
156,-37231,Inula_mariae,,,,Inula_helvetica
157,-37227,Inula_montana,,,,
158,-37239,Inula_paniculata,,,,Inula_oculus-christi
159,-37236,Inula_salicina,,,,
209,-39335,Jacobaea_abrotanifolia,,,,Jacobaea_abrotanifolia_subsp._abrotanifolia
210,-39309,Jacobaea_alpina,,,,Jacobaea_alpina_subsp._alpina
