"","ID_FloraAlpina","SpeciesName","Average.elevation","Flowering.time..initiation.month.","Embryo.Ploidy.summ","Reproductive.mode","Repr_mode_summ","Apomixis_type"
"226","124.99.31.0","Hieracium_amplexicaule",1400,5,"3x","Apomictic","Apomictic","Diplosporous"
"227","124.99.32.0","Schlagintweitia_intybacea",1890,7,"2x","Sexual","Sexual","Sexual"
"228","124.99.35.0","Hieracium_glaucum",1190,6,"3x","Apomictic","Apomictic","Diplosporous"
"229","124.99.37.0","Hieracium_prenanthoides",1750,6,"2x","Sexual","Sexual","Diplosporous"
"230","124.99.4.0","Pilosella_officinarum",1400,5,"4x","Apomictic","Apomictic","Aposporous"
"231","124.99.7.0","Pilosella_lactucella",1250,5,"2x","Sexual","Sexual","Aposporous"
"232","124.99.8.0","Pilosella_glacialis",2100,7,"2x","Sexual","Sexual","Aposporous"
"233","124.99","Hieracium_cydoniifolium",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"234","124.99","Hieracium_froelichianum",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"235","124.99","Hieracium_glaucopsis",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"236","124.99","Hieracium_ramosissimum_subsp._lactucifolium",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"237","124.99","Hieracium_valdepilosum",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"238","124.99","Schlagintweitia_huteri_subsp._lantoscana",1890,7,"2x","Sexual","Sexual","Sexual"
