Collector ID,ID,Species,Leaf,Seeds,Cap,Photo,Herb,Date,Lat N,Long E,Altitude,Notes,Ø cap,h cap,Ø inv,h inv,Ø stem,Ø syn,h syn,Ø stem syn,Cap/Stem
LP913,A38,Tephoroseris integrifolia,X,X,X,X,X,17/06/2018,47.79204,15.81456,1242,NEW species; dissection done,29.08,13.06,4.9,6.38,1.3,62.97,91.19,4,2.22
LP914,A39,Hieracium sect amplexicaulia,X,X,X,X,X,17/06/2018,47.79204,15.81456,1242,"NEW species (not sure which, but we don’t have it); dissection done",30.8,21.15,5.94,9.78,1.4,101.12,108.06,4,1.61
LP915,A40,Carduus defloratus summanus,,X,,,,17/06/2018,47.88478,15.75414,695,,,,,,,,,,
LP916,A41,Senecio/Jacobaea sp,X,X,X,X,X,18/06/2018,47.9573,16.26658,244,Dissection done,25.99,10.6,4.92,4.43,1.78,295,290,3.76,67
LP917,A42,Centaurea leucophaea,X,,,,,18/06/2018,47.9573,16.26658,244,,,,,,,,,,
LP918,A43,Artemisia absinthium,X,,,,,18/06/2018,47.9573,16.26658,244,,,,,,,,,,
LP919,A44,Echinops ritro rhutenica,X,,X,X,X,18/06/2018,47.9568,16.26459,244,Different subspecies than France,43.65,50.26,-,-,4.44,195,330,12,7.71
LP920,A45,Echinops sphaerocephalus,X,,X,X,X,18/06/2018,47.94569,16.26889,249,To do dissection if there’s time,59.19,59.26,-,-,4.36,385,470,25,10.6
LP921,A46,(empty),,,,,,,,,,,,,,,,,,,
LP922,A47,Cota tinctoria,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP923,A48,Achillea millefolium,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP924,A49,Centaurea scabiosa,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP925,A50,Leucanthemum vulgare,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP926,A51,Centaurea nigra,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP927,A52,Onopordum acanthium,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP928,A53,Tripleurospermum inodorum,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP929,A54,Centaurea leucophaea,X,,,,,19/06/2018,47.32495,11.68786,465,,,,,,,,,,
LP930,A55,Cirsium oleraceum,X,X,,,,19/06/2018,47.32581,11.69125,554,,,,,,,,,,
LP931,A56,Cirsium arvense,X,,,,,19/06/2018,47.32581,11.69125,554,,,,,,,,,,
LP932,CH39,Erigeron karviskianus,,X,,,,20/06/2018,46.00863,8.98528,881,Same individual as CH4,,,,,,,,,
LP933,CH40,Rudbeckia hirta,X,,X,X,X,20/06/2018,46.02692,8.76233,347,Semi-wild,52.1,11.79,36.54,13.93,3.26,,,,
LP934,CH41,Erigeron annuus,X,,,,,20/06/2018,46.02695,8.76651,380,,,,,,,,,,
LP935,CH42,Centaurea jacea,X,,,,,20/06/2018,46.02695,8.76651,380,Probably Centaurea nigra,,,,,,,,,
LP936,CH43,Lapsana communis,X,,,,,20/06/2018,46.02695,8.76651,380,,,,,,,,,,
LP937,CH44,Scorzonera humilis,X,X,,,,21/06/0218,46.1044,8.96611,978,ID by Sofia Mangili,,,,,,,,,
LP938,CH45,Carduus defloratus,X,,X,X,X,21/06/0218,46.10529,8.97186,1010,,44.46,29.87,31.59,12.81,3.37,,,,
LP939,CH46,Centaurea scabiosa grinensis,X,X,X,X,X,21/06/0218,45.96212,8.88513,417,,40.64,34.02,20.06 (14.37),18.06,2.98,260,530,3.81,9
LP940,CH47,Leontodon hispidus tenuifolius,X,,,,,21/06/0218,45.96212,8.88513,417,,,,,,,,,,
LP941,CH48,Cyanus trumfettii,X,,,,X,21/06/0218,45.96207,8.88476,413,,,,,,,,,,
LP942,CH49,Galonsoga quadriradiata,X,,,,X,21/06/0218,45.96199,8.88022,482,,,,,,,,,,
LP943,CH50,Leontodon helveticus,X,,X,X,X,22/06/2018,46.21058,8.78732,1784,,,,,,,,,,
LP944,CH51,Hieracium murorum,X,,,,X,22/06/2018,46.21058,8.78732,1784,,,,,,,,,,
LP945,CH52,Homogyne alpina,X,,,,,22/06/2018,46.21058,8.78732,1784,,,,,,,,,,
LP946,CH53,Achillea distans ,X,,X,X,X,22/06/2018,46.21069,8.79354,1706,,16.19,7.24,3.84,4.16,1.05,135 (68.34),325 (44.14),3.86 (2.07),67 (29)
LP947,CH54,Arnica montana,X,,,,,22/06/2018,46.21421,8.79385,1650,,,,,,,,,,
LP948,CH55,Carduus defloratus defloratus,X,,,,,22/06/2018,46.1341,8.7968,1535,,,,,,,,,,
LP949,CH56,Adenostyles alliareae,X,,,,,22/06/2018,46.21189,8.79884,1500,,,,,,,,,,
LP950,CH57,Achillea roseoalba,X,,,,X,22/06/2018,46.20733,8.80109,1441,,,,,,,,,,
LP951,CH58,Carduus defloratus defloratus,X,,,,,22/06/2018,46.20733,8.80109,1441,,,,,,,,,,
LP952,CH59,Cirsium palustre,X,X,X,X,X,22/06/2018,46.20715,8.80046,1443,,,,,,,,,,
LP953,CH60,Hieracium amplexicaule,X,,(X),X,X,22/06/2018,46.20391,8.79724,1433,Capitulum was not open yet; rot before opening… ,-,-,5.87 (17.08),17.5 (15.09),,,,,
LP954,CH61,Achillea clavenae,X,,,,,23/06/2018,45.93156,9.01994,1673,,,,,,,,,,
LP955,CH62,Hieracium villosum,X,,,,X,23/06/2018,45.93156,9.01994,1673,,,,,,,,,,
LP956,CH63,Pilosella officinarum,X,,,,X,23/06/2018,45.93537,9.0219,1621,,,,,,,,,,
LP957,CH64,Plosella lactucella,X,,,,X,23/06/2018,45.93537,9.0219,1621,,,,,,,,,,
LP958,CH65,Carduus defloratus defloratus,X,,X,X,X,23/06/2018,45.92674,9.01793,1560,,41.6,27.04,36.04,13.46,3.41,,,,
LP959,CH66,Arnica montana,X,,,,,23/06/2018,45.93961,9.02406,1562,,,,,,,,,,
LP960,CH67,Solidago virgaurea,X,,,,X,23/06/2018,45.94328,9.0313,1327,,,,,,,,,,
LP961,CH68,Echinops exaltatus,X,X,X,X,X,24/06/2018,46.00907,9.0088,306,,,,,,,275,260,8.06,3
LP962,CH69,Centaurea rhaetica,X,X,X,X,X,24/06/2018,45.99966,9.21657,738,,41.92,27.49,15.98,16.12,2.6,,,,
LP963,CH70,Leucanthemum heterophyllum,X,,X,X,X,24/06/2018,46.0048,9.21802,904,"Ø disc 11.28, ligule 10.80",37.01,8.69,17.85,3.9,1.97,,,,
LP964,CH71,Centaurea jacea gaudinii,X,,,,X,24/06/2018,45.99655,9.21991,626,Not yet in flower,,,,,,,,,
LP965,CH72,Cirsium palustre,X,,,,,24/06/2018,45.97311,9.066946,746,,,,,,,,,,
LP966,CH73,Senecio aquaticus,X,,X,X,X,24/06/2018,45.97311,9.066946,746,,24.38,7.16,4.66,4.28,1.28,160,270,4.24,51
LP967,CH74,Crepis paludosa,X,,,X,X,24/06/2018,45.97283,9.06761,740,,,,,,,,,,
LP968,CH75,Anthemis triumfettii,X,X,X,X,X,24/06/2018,45.95072,8.98079,550,,43.4,8.84,16.08,2.61,2.46,280,400,3.69,17
LP969,CH76,Crepis capillaris,X,X,X,X,X,25/06/2018,45.83786,8.87339,423,,13.57,6.69,6.80 (3.00),4.59,0.69,170,380,3.8,36
LP970,CH77,Hypochaeris radicata,X,X,,,,25/06/2018,45.83786,8.87339,423,,,,,,,,,,
LP971,FR727,Inula spiraefolia,X,X,X,X,X,03/07/2018,44.36342,5.88735,609,,30.48,20.47,14.97 (11.61),11.39,2.62,,,,
LP972,FR728,Stahelina dubia,X,X,X,X,X,03/07/2018,44.36342,5.88735,609,,8.52,30.18,4.02,21.28,2.12,28.75,51.68,1.6,3
LP973,FR729,Rhaponticum coniferum,X,,X,X,X,03/07/2018,44.36441,5.89026,608,,22.63,38.25,22.63,29.1,4.16,,,,
LP974,FR730,Helichrysum italicum,X,,X,X,X,03/07/2018,44.47067,6.13017,659,,5.48,8.92,5.48,7.09,1.4,21.24,17.72,1.24,13
LP975,A57,Carduus personata,x,x,x,x,x,16/07/2018,46.56657,12.48257,1398,,"31,19","24,49","18,66","14,16","2,25",1190 (130),1160 (310),"26,17",475 (24)
LP976,A58,Achillea millefolium,x,,,,x,16/07/2018,46.56657,12.48257,1398,,,,,,,,,,
LP977,A59,Petasites paradoxus,x,,,,,16/07/2018,46.56657,12.48257,1398,,,,,,,,,,
LP978,A60,Centaurea nigra,x,,,,x,16/07/2018,46.56657,12.48257,1398,,,,,,,,,,
LP979,A61,Cirsium eristales,x,,,,,16/07/2018,46.56657,12.48257,1398,,,,,,,,,,
LP980,A62,Cirsium heterophillum,x,,,,x,16/07/2018,46.57534,12.49728,1418,,,,,,,,,,
LP981,A63,Leucanthemum atratum halleri,x,x,x,x,x,10/07/2018,47.2394722222222,13.51375,1974,Andreas collections,"35,57","16,08 (disc: 11,14)","15,86","6,25","3,06",,,,
LP982,A64,Doronicum clusii stiriacum,x,x,,,x,15/07/2018,47.2716666666667,14.0838888888889,2110,Andreas collections,,,,,,,,,
LP983,A65,Senecio carniolicus disjunctus (4x) ?,x,x,x,x,x,15/07/2018,47.2716666666667,14.0838888888889,2110,Andreas collections,,,,,,"30,89","36,00","2,05",13
LP984,A65A,Senecio carniolicus carniolicus (6x),x,x,x,x,x,15/07/2018,47.2716666666667,14.0838888888889,2110,Andreas collections,,,,,,"31,72","41,24","2,64",13
LP985,A65B,Senecio carniolicus disjunctus (4x),x,x,x,x,x,15/07/2018,47.2716666666667,14.0838888888889,2110,Andreas collections,,,,,,"30,04","27,67","2,03",9
LP986,A65C,Senecio carniolicus doubtful individuals,x,x,,,x,15/07/2018,47.2716666666667,14.0838888888889,2110,Andreas collections,,,,,,,,,
LP987,A66,Antennaria carpatica,x,x,,,,17/07/2018,47.12253,12.82531,2318,,,,,,,,,,
LP988,A67,Hieracium armerioides,x,x,x,x,x,17/07/2018,47.12227,12.82532,2324,,"19,77","15,65","8,43","10,89","1,68",,,,
LP989,A68,Saussurea alpina,x,,,,,17/07/2018,47.12227,12.82532,2324,,,,,,,,,,
LP990,A69,Leontopodium nivale alpinum,x,,,,,17/07/2018,47.12328,12.82621,2337,,,,,,,,,,
LP991,A70,Belidastrum michelii,x,,,,x,17/07/2018,47.12385,12.82639,2354,,,,,,,,,,
LP992,A71,Achillea clavenae,x,,,,x,17/07/2018,47.12388,12.82635,2354,,,,,,,,,,
LP993,A72,Homogyne alpina,x,,,,x,17/07/2018,47.12388,12.82635,2354,,,,,,,,,,
LP994,A73,Doronicum glaciale,x,,x,x,x,17/07/2018,47.12247,12.82878,2431,,"40,45","9,33","31,57","3,93","2,72",,,,
LP995,A74,Achillea atrata,x,,x,x,x,17/07/2018,47.12224,12.82704,2361,,"14,86","9,14","5,37","6,01","1,09","44,30","29,72","1,67",7
LP996,A75,Hieracium pilosum,x,,,,x,17/07/2018,47.12224,12.82704,2361,,,,,,,,,,
LP997,A76,Antennaria dioica (male and female),x,,,,x,17/07/2018,47.06833,12.83988,2258,,,,,,,,,,
LP998,A77,Achillea millefolium sudetica,x,,x,x,x,17/07/2018,47.06729,12.83774,2196,,"7,57","6,62","2,74","5,17","0,91","36,96","31,04","1,85",35
LP999,A78,Pilosella hoppeana,x,,x,x,x,17/07/2018,47.06569,12.83252,2149,,"43,65","21,84","9,85","10,75","2,21",,,,
LP1000,A79,Taraxacum venustum,x,x,x,x,x,18/07/2018,47.08244,12.8416,2577,,"30,37","14,66","5,64","7,43","0,98",,,,
LP1001,A80,Taraxacum carinthiacum,x,,x,x,x,18/07/2018,47.08244,12.8416,2577,different from A83,"37,00","16,34","7,43","10,95","1,22",,,,
LP1002,A81,Taraxacum pacheri,x,,x,x,x,18/07/2018,47.08249,12.84136,2586,,"19,42","14,13","5,60","9,92","1,00",,,,
LP1003,A82,Leucanthemopsis alpina,x,,,,,18/07/2018,47.08244,12.84014,2586,,,,,,,,,,
LP1004,A83,Taraxacum carinthiacum,x,,x,x,x,18/07/2018,47.08244,12.83995,2633,different from A80,"30,58","16,62","8,37","10,53","1,13",,,,
LP1005,A84,Erigeron uniflorus,x,,,,,18/07/2018,47.08228,12.84261,2592,,,,,,,,,,
LP1006,A85,Cicerbita alpina,x,x,x,x,x,19/07/2018,46.78288,12.78845,1638,,,,,,,105,200,"5,94",41
LP1007,A86,Achillea oxyloba,x,,x,x,x,19/07/2018,46.77042,12.79189,1930,,"23,72","12,22","5,73","5,45","0,91",,,,
LP1008,A87,Homogyne discolor,x,x,x,x,x,19/07/2018,46.77042,12.79189,1930,,,,,,,,,,
LP1009,A88,Crepis terglouensis,x,x,x,x,x,19/07/2018,46.76274,12.80268,2270,,"36,26","25,07","4,93","9,75","2,53",,,,
LP1010,A89,Crepis aurea,x,,,,x,19/07/2018,46.76274,12.80268,2270,,,,,,,,,,
LP1011,A90,Taraxacum sp,x,,x,x,x,19/07/2018,46.76147,12.80417,2268,,,,,,,,,,
LP1012,A91,Gnaphalium supinum,x,,,,x,19/07/2018,46.76143,12.80439,2267,,,,,,,,,,
LP1013,A92,Gnaphalium hoppeanum,x,,,,,19/07/2018,46.76379,12.80059,2219,,,,,,,,,,
LP1014,A93,Achillea oxyloba,,x,,,,19/07/2018,46.76379,12.80059,2219,,,,,,,,,,
LP1015,A94,Hieracium lachenalii,x,,x,x,x,19/07/2018,46.77022,12.79089,1958,,"35,34","16,76","5,94 (19,32)","5,59","1,18","53,0","51,46","1,38",3
LP1016,A95,Petasites paradoxus,x,,,,,19/07/2018,46.77828,12.78971,1723,,,,,,,,,,
LP1017,A96,Adenostiles alliare,x,,,,,19/07/2018,46.78288,12.78845,1638,,,,,,,,,,
LP1018,A97,Solidago virgaurea virgaurea,x,,x,x,x,19/07/2018,46.78288,12.78845,1638,,"24,35","14,81","3,64","8,63","1,16","55,0","205,0","2,81",24
LP1019,A98,Cirsium eristales,x,,,,,19/07/2018,46.78288,12.78845,1638,,,,,,,,,,
LP1020,A99,Carlina acaulis,x,,,,,19/07/2018,46.78347,12.788,1640,,,,,,,,,,
LP1021,A100,Carduus defloratus crassifolius,x,x,x,x,x,19/07/2018,46.78347,12.788,1640,,"30,44","30,37","21,78","14,48","3,04",,,,
LP1022,A101,Prenanthes purpurea,x,,,,,19/07/2018,46.78423,12.78753,1636,,,,,,,,,,
LP1023,A102,Hieracium amplexicaule,x,x,x,x,x,19/07/2018,46.78974,12.78404,1620,,"27,72","22,03","6,47","10,74","1,33","130,0","275,0","6,28",11
LP1024,A103,Carduus personata,x,,,,,20/07/2018,47.14296,12.81415,1601,,,,,,,,,,
LP1025,A104,Doronicum austriacum,x,x,x,x,x,20/07/2018,47.14314,12.81543,1650,,"63,13","13,03","20,96","7,49","2,27",260,390,"13,90",14
LP1026,A105,Cirsium oleraceum,x,,,,,20/07/2018,47.14314,12.81543,1650,,,,,,,,,,
LP1027,A106,Erigeron acris,x,,x,x,x,20/07/2018,47.15695,12.81345,1311,,"9,03","12,56","5,26","6,11","0,86","51,50","94,79","1,56",8
LP1028,A107,Senecio nemorensis,x,,,,x,20/07/2018,47.15695,12.81345,1311,,,,,,,,,,
LP1029,A108,Cicerbita alpina,x,,,,,20/07/2018,47.13978,12.81013,1699,,,,,,,,,,
LP1030,A109,Hieracium sect amplexicaulia,x,x,x,x,x,20/07/2018,47.13978,12.81013,1699,,"35,74","14,35","5,03 (16,37)","8,51","1,59","105,0","100,0","2,13",13
LP1031,A110,Centaurea pseudophrygia,x,,x,x,x,20/07/2018,47.13009,12.807,1848,,"73,72","31,04","20,31","16,23","6,75",,,,
LP1032,A111,Carduus personata,,x,,,,20/07/2018,47.13009,12.807,1848,,,,,,,,,,
LP1033,A112,Senecio doronicum,x,,,,x,20/07/2018,47.12461,12.82355,2293,,,,,,,,,,
LP1034,A113,Aster alpinus,x,,,,x,20/07/2018,47.12461,12.82355,2293,,,,,,,,,,
LP1035,A114,Erigeron alpinus,x,,,,x,20/07/2018,47.12461,12.82355,2293,,,,,,,,,,
LP1036,A115,Erigeron sp,x,,,,x,20/07/2018,47.12461,12.82355,2293,,,,,,,,,,
LP1037,A116,Leontodon montanus,x,x,x,x,x,20/07/2018,47.0979,12.83191,2338,,"31,42","21,46","6,69","13,17","2,55",,,,
LP1038,A117,Achillea atrata,x,,,,,20/07/2018,47.0979,12.83191,2338,,,,,,,,,,
LP1039,A118,Hieracium sect alpina,x,,x,x,x,20/07/2018,47.06936,12.83927,2302,,"30,36","26,81","14,04","13,28","2,53",,,,
LP1040,A119,Senecio carniolicus noricus (2x),x,x,x,x,x,20/07/2018,47.06928,12.83923,2303,,,,,,,"21,41","16,70","1,60",9
LP1041,A120,Hypochaeris uniflora,x,x,,,x,20/07/2018,47.0675,12.83779,2203,,"74,92","48,24","19,42","24,89","10,98",,,,
LP1042,A121,Aster alpinus,x,,,,x,20/07/2018,47.0675,12.83779,2203,,,,,,,,,,
LP1043,A122,Crepis conyzifolia,x,,,,x,21/07/2018,47.0634,12.82595,2003,,,,,,,,,,
LP1044,A123,Willemetia stipitata,x,,x,x,x,21/07/2018,47.0691,12.84261,2215,,"38,74","16,77","17,34","9,99","1,80","94,94","88,70","2,73",5
LP1045,A124,Hieracium valdepilosum,x,,x,x,x,21/07/2018,47.05592,12.8033,1954,,,,,,,,,,
LP1046,A125,Senecio doronicum,x,,,,,21/07/2018,47.05946,12.79703,2022,,,,,,,,,,
LP1047,A126,Senecio doronicum,x,,,,,21/07/2018,47.06711,12.77199,2145,,,,,,,,,,
LP1048,A127,Achillea clavenae,x,x,,,,21/07/2018,47.07452,12.74988,2282,,,,,,,,,,
LP1049,A128,Artemisia genipi,x,,,,x,21/07/2018,47.07504,12.75082,2348,,,,,,,,,,
LP1050,A129,Crepis pontana,x,x,,,x,21/07/2018,47.06096,12.79334,2087,,,,,,,,,,
LP1051,A129,Crepis pontana,x,,x,x,,21/07/2018,47.06066,12.79168,2047,,"52,75","24,84","18,82 (23,86)","13,37","6,57",,,,
LP1052,A130,Senecio doronicum,x,,,,x,21/07/2018,47.06135,12.79348,2108,,,,,,,,,,
LP1053,A131,Hypochaeris uniflora,x,,,,x,21/07/2018,47.06135,12.79348,2108,,,,,,,,,,
LP1054,A132,Pilosella aurantiaca,x,,,,x,21/07/2018,47.06081,12.79331,2078,,,,,,,,,,
LP1055,A133,Saussurea alpina alpina,x,,,,,21/07/2018,47.06167,12.79314,2122,,,,,,,,,,
LP1056,A134,Petasites paradoxus,x,,,,,21/07/2018,47.0620555555556,12.8173055555556,1875,,,,,,,,,,
LP1057,A135,Senecio nemorensis,x,x,x,x,x,22/07/2018,47.15162,12.81429,1494,,"25,97","18,00","3,36","7,85","1,10","190,0","250,0","3,54",104
LP1058,A136,Senecio cacaliaster,x,x,x,x,x,22/07/2018,47.15162,12.81429,1494,,"11,86","17,67","3,05","8,03","0,70","210,0","195,0","3,51",85
LP1059,CH78,Senecio doria,X,X,X,X,X,24/07/2018,46.49405,8.3477,1660,probably S. ovatus,37.03,16.94,2.78,8.05,1.22,270,280,6.55,286
LP1060,CH79,Hieracium sect amplexicaulia,X,X,X,X,X,24/07/2018,46.49419,8.34802,1662,,27.18,16,4.46 (10.11),10.76,0.79,81.72,119.92,2.85,28
LP1061,CH80,Tolpis staticifolia,X,,,,,24/07/2018,46.49419,8.34802,1662,,,,,,,,,,
LP1062,CH81,Doronicum clusii,X,,,,,24/07/2018,46.48184,8.38662,2437,,,,,,,,,,
LP1063,CH82,Achillea nana,X,,,,,24/07/2018,46.48152,8.38656,2438,,,,,,,,,,
LP1064,CH83,Erigeron glabratus,X,,X,X,X,24/07/2018,46.48152,8.38656,2438,,12.93,9.66,7.79 (12.79),5.13,1.78,,,,
LP1065,CH84,Senecio carniolicus,X,,,,X,24/07/2018,46.48152,8.38656,2438,,,,,,,,,,
LP1066,CH85,Pilosella officinarum subsp ?,X,,X,X,X,24/07/2018,46.48152,8.38656,2438,,28.93,15.58,6.85 (13.78),9.83,1.42,,,,
LP1067,CH86,Taraxacum sp,X,,X,X,X,24/07/2018,46.47839,8.38935,2495,,31.47,16.91,13.19 (18.63),12.68,1.55,,,,
LP1068,CH87,Hieracium sect alpina,X,X,X,X,X,24/07/2018,46.47858,8.38898,2500,,29.26,18.23,9.09,1028,1.85,,,,
LP1069,CH88,Leucanthemopsis alpina,X,,,,,24/07/2018,46.47858,8.38898,2500,,,,,,,,,,
LP1070,CH89,Hieracium sect lanatella,X,,X,X,X,24/07/2018,46.47858,8.38898,2500,,37.6,20.95,9.42,11.97,2.6,,,,
LP1071,CH90,Tussilago farfara,X,,,,,24/07/2018,46.47789,8.38879,2485,,,,,,,,,,
LP1072,CH91,Taraxacum sp,X,,X,X,X,24/07/2018,46.47789,8.38879,2485,,36.02,15.92,13.06 (18.58),10.05,1.67,,,,
LP1073,CH92,Hieracium intybaceum,X,,,,,24/07/2018,46.47733,8.41281,2235,,,,,,,,,,
LP1074,CH93,Senecio doronicum,X,,,,,24/07/2018,46.47733,8.41281,2235,,,,,,,,,,
LP1075,CH94,Achillea erba-rotta moschata,X,,,,,24/07/2018,46.47752,8.4128,2237,,,,,,,,,,
LP1076,CH95,Hypochaeris uniflora,X,,,,,24/07/2018,46.47752,8.4128,2237,,,,,,,,,,
LP1077,CH96,Arnica montana,X,,,,,24/07/2018,46.47752,8.4128,2237,,,,,,,,,,
LP1078,CH97,Cirsium eriophorum,X,,X,X,X,24/07/2018,46.50387,8.50891,1389,perhaps subsp spathulatum,54.19 (58.53),58.44,58.53,36,6.78,180,370,9.36,9
LP1079,CH98,Arctium nemorosum,X,,X,X,,24/07/2018,46.50385,8.50929,1386,maybe A. minus,10.61 (22.55),18.15,22.55,13.95,6.78,170,370,10.95,62
LP1080,CH99,Cirsium vulgare,X,,,,,24/07/2018,46.50385,8.50929,1386,,,,,,,,,,
LP1081,CH100,Carduus personata,X,,,,,24/07/2018,46.61453,8.57122,1548,,,,,,,,,,
LP1082,CH101,Doronicum grandiflorum,X,,,,X,25/07/2018,46.55712,8.41407,2498,,,,,,,,,,
LP1083,CH102,Gnaphalium sylvaticum,X,,X,X,X,25/07/2018,46.55928,8.14107,2502,,2,7.59,3.28,5.47,0.28,10.33,58.99,1.99,34
LP1084,CH103,Gnaphalium norvegicum,X,,X,X,X,25/07/2018,46.55985,8.41448,2502,,1.84,7.34,2.84,6,0.69,11.7,41.8,2.05,38
LP1085,CH104,Achillea nana,X,,,,X,25/07/2018,46.56559,8.41408,2497,,,,,,,,,,
LP1086,CH105,Achillea erba-rotta moschata,X,,,,X,25/07/2018,46.56559,8.41424,2490,,,,,,,,,,
LP1087,CH106,Carduus crispus,X,X,X,X,X,25/07/2018,46.75797,8.64619,667,,8.66,25.93,8.66,12.49,2.15,28.62,109.37,3.14,10
LP1088,CH107,Cicerbita alpina,X,,,X,X,25/07/2018,46.62326,8.57667,1437,,,,,,,,,,
LP1089,CH108,Hieracium sect prenanthoides,X,,X,X,X,25/07/2018,46.62268,8.57544,1477,,25.32,17.13,4.45 (7.68),9.51,1.06,77.77,62.65,1.45,9
LP1090,CH109,Hieracium sect prenanthoides,X,,,,X,25/07/2018,46.62298,8.57598,1476,maybe same species as CH108,,,,,,,,,
LP1091,CH110,Prenanthes purpurea,X,,,,,25/07/2018,46.62326,8.57667,1437,,,,,,,,,,
LP1092,CH111,Mycelis muralis,X,,,,,25/07/2018,46.62268,8.57544,1477,,,,,,,,,,
LP1093,CH112,Crepis paludosa,X,X,,X,X,25/07/2018,46.59258,8.4881,1785,,16.52,13.4,6.91,7.87,1.12,71.17,66.57,2.01,5
LP1094,CH113,Crepis pyrenaica,X,,X,X,X,25/07/2018,46.59128,8.47155,2057,,43.82,22.2,16.56,12.35,2.18,165,205,4.41,7
LP1095,CH114,Centaurea scabiosa alpestris,X,,X,X,X,25/07/2018,46.59128,8.47155,2057,,66.17,38.07,25.06,23.03,5.1,74.15,76.94,3.59,2
LP1096,CH115,Hieracium villosum,X,,,,X,25/07/2018,46.59128,8.47155,2057,,,,,,,,,,
LP1097,CH116,Pilosella aurantiaca,X,,,,X,25/07/2018,46.59436,8.45847,2116,,,,,,,,,,
LP1098,CH117,Senecio alpinus,X,,X,X,X,26/07/2018,46.64911,8.68736,1778,,33.01,10.63,7,5.03,2.05,71.43,124.6,3.68,9
LP1099,CH118,Centaurea nervosa,X,,X,X,X,26/07/2018,46.53711,8.8378,1754,,82.84,41.62,21.54,16.21,4.22,,,,
LP1100,CH119,Senecio alpinus,X,,X,X,X,26/07/2018,46.55894,8.89328,1755,,40.05,12.08,7.01,5.39,1.01,100,185,3.65,12
LP1101,CH120,Senecio doronocum,X,,,,,26/07/2018,46.55568,8.86541,2109,,,,,,,,,,
LP1102,CH121,Doronicum grandiflorum,X,,,,,26/07/2018,46.55581,8.85203,2221,,,,,,,,,,
LP1103,CH122a,Crepis conyzifolia,X,,X,X,X,26/07/2018,46.59242,8.46232,2086,,38.19,25.11,10.64,10.19,3.56,149,184.37,5.28,5
LP1104,CH122b,Achillea erba-rotta moschata,X,,X,X,X,26/07/2018,46.57598,8.42261,2383,,10.72,8.04,3.9,4.82,1.02,26.59,24.75,1.27,8
LP1105,CH123,Hieracium intybaceum,X,X,X,X,X,26/07/2018,46.57594,8.42267,2383,,36.53,21.8,21.35 (11.30),12.81,2.85,61.55,102.45,3.29,2
LP1106,CH124,Leucanthemum praecox,X,,X,X,X,26/07/2018,46.57605,8.42245,2400,,49.81,10.29,22.47,0.4,1.85,,,,
LP1107,CH125,Hypochaeris uniflora,X,X,X,X,X,26/07/2018,46.57597,8.42242,2400,,68.48,43.52,17.19,18.16,12.07,,,,
LP1108,CH126,Senecio doronicum,X,,,,,26/07/2018,46.57597,8.42242,2400,,,,,,,,,,
LP1109,CH127,Doronicum clusii,X,,X,X,X,27/07/2018,46.57679,8.42185,2414,,66.48,13.66,40.18,6.48,3.37,,,,
LP1110,CH128,Achillea erba-rotta moschata,X,,,,,27/07/2018,45.86387,7.15902,2258,,,,,,,,,,
LP1111,CH129,Centaurea nervosa,X,,,,,27/07/2018,45.86374,7.15908,2255,,,,,,,,,,
LP1112,CH130,Leucanthemum adustum,X,,,,,27/07/2018,45.86332,7.1595,2247,,,,,,,,,,
LP1113,CH131,Artemisia campestris campestris,X,,X,X,X,22/08/2018,46.25315,7.40649,593,Vineyard,1.92,3.85,1.92,3.1,0.43,390,830,4.03,6688
LP1114,CH132,Conyza canadensis,X,X,X,X,X,22/08/2018,46.25315,7.40649,593,Vineyard,2.97,5.2,1.91,4.07,0.49,85,350,4.17,935
LP1115,CH133,Chiondrilla juncea,X,X,X,X,X,22/08/2018,46.25319,7.40579,600,Vineyard,18.6,17.58,2.24,11,0.59,210,340,2.16,45
LP1116,CH134,Conyza bonariensis,X,X,X,X,X,22/08/2018,46.25335,7.40602,604,Vineyard,2.71,5.43,2.71,4,0.47,50,285,4.74,196
LP1117,CH135,Arctium lappa,X,X,,,,22/08/2018,46.26919,7.53579,963,,,,,,,,,,
LP1118,CH136,Achillea ptarmica,X,,X,X,X,22/08/2018,46.30779,7.87707,897,,13.33,7.79,4.85,3.93,0.87,134,129.23,1.98,26
LP1119,CH137,Artemisia vulgaris,X,X,X,X,X,22/08/2018,46.30757,7.877726,894,,1.99,3.78,1.99,2.82,0.37,380,570,5.21,2205
LP1120,CH138,Artemisia absinthium,X,X,,,,22/08/2018,46.30757,7.877726,894,,,,,,,,,,
LP1121,CH139,Hieracium sabaudum,X,,X,X,X,22/08/2018,46.30768,7.87695,893,,27.99,15.13,5.19 (12.14),8.13,0.83,75,240,2.49,32
